Boat Name,Sail No,Cert No,Issue Date,Cert Year,TCC,Endorsed,Dayboat,Short Handed,Non Spi TCC,Crew,DLR,LH,Beam,Draft,Headsails,Series Date,Age Date,Racing Area,SSS Base Value,STIX,AVS,Category,ValidCode
BOYSTEROUS,GBR779R,4478,12/01/2015,2015,0.848,,,,0.842,6,339,7.98,2.96,1.47,Multiple,1978,1979,104,25,0,0,0,Yes
BLUE VELVET,GBR3564,4535,29/01/2015,2015,0.928,,,,0.919,8,281,10.74,3.43,1.83,Single+H/W Jib,1990,1990,110,40,0,0,0,Yes
QII,90,4551,03/03/2015,2015,1.071,,,,1.052,8,138,10.67,3.39,2.14,Multiple,1990,1990,101,25,34,123,A,Yes
RED FOX,GBR3924T,4567,22/01/2015,2015,0.898,E,,,0.89,6,205,8.62,2.83,1.54,Multiple,1982,1990,105,22,0,0,0,Yes
MAGNET,GBR9896,4652,12/03/2015,2015,0.944,E,,,0.934,8,263,10.12,3.34,1.9,Multiple,1986,1990,118,33,0,0,0,Yes
NIMBUS,GBR3230L,4658,15/04/2015,2015,0.907,,,,0.895,6,268,8.27,2.82,1.77,Multiple,1984,1985,104,19,0,0,0,Yes
CRAZY HORSE,GBR5187,4677,12/03/2015,2015,0.906,,,,0.897,7,198,9,2.48,1.72,Multiple,1988,1991,101,19,24,134,B,Yes
MINESTRONE,GBR6143,4687,31/03/2015,2015,0.882,,,,0.867,5,211,7.41,2.7,1.46,Multiple,1975,1975,101,17,0,0,0,Yes
MOWGLI,2188,4697,02/04/2015,2015,0,,,,0.872,8,384,11.09,2.76,1.77,Multiple,1960,1965,101,37,0,0,0,Yes
MOGAN,GBR9669,4702,02/04/2015,2015,0.947,E,,,0.934,8,259,10.12,3.34,1.9,Multiple,1986,1991,105,32,0,0,0,Yes
RAINMAKER,GBR9029,4703,10/04/2015,2015,1,,,,0.985,10,183,11.99,3.59,2.35,Single,1987,1990,101,38,0,0,0,Yes
INSPIRATION OF BOSS,GBR8342,4708,28/01/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,101,40,29,116,B,Yes
JOKER,IRL9388,4716,16/02/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,118,40,29,116,B,Yes
XTREME,GBR4206T,4742,05/02/2015,2015,1.021,,,,1.009,10,214,11.99,3.81,2.2,Multiple,1990,1991,103,39,0,0,0,Yes
CETEWAYO,GBR1034,4749,05/02/2015,2015,0.961,E,,,0.941,13,347,14.55,3.38,2.51,Multiple,1955,1955,101,50,0,0,0,Yes
SAM,GBR8396,4765,20/01/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,116,40,29,116,B,Yes
JACKDAW,GBR4243T,4827,18/02/2015,2015,1.049,,,,1.037,10,198,12.02,3.81,2.22,Multiple,1990,1991,105,32,0,0,0,Yes
MOONSHADOW 2,354,4883,12/03/2015,2015,0.868,,,,0.855,7,317,9.66,2.9,1.78,Multiple,1971,1973,102,39,33,155,A,Yes
IN X CELSIS,GBR9863,4890,17/03/2015,2015,1.037,E,,,1.027,10,173,11.99,3.34,2.3,Multiple,1989,1991,101,31,0,0,0,Yes
PAVLOVA III,GBR8399,4961,10/04/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,116,40,29,116,B,Yes
SIBILATION,GBR4526,5030,22/01/2015,2015,0.913,E,,,0.903,7,268,9.87,3.2,1.83,Multiple,1978,1991,101,32,24,117,B,Yes
QUEST,IRL508,5047,27/01/2015,2015,0.906,E,,,0.894,6,270,7.83,2.89,1.52,Multiple,1987,1987,118,14,0,0,0,Yes
HOPE & GLORY,GBR641,5162,23/01/2015,2015,1.143,E,,,1.131,15,190,15.22,4.64,2.85,Multiple,1987,1989,102,41,0,0,0,Yes
MARTA,GBR6388T,5169,09/03/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,116,40,29,116,B,Yes
XANDRA,GBR5757L,5172,19/03/2015,2015,0.919,,,,0.904,7,308,9.86,3.43,1.81,Multiple,1978,1978,104,31,0,0,0,Yes
CURVED AIR,GBR9578,5219,27/02/2015,2015,0.881,E,,,0.873,6,247,8.56,2.82,1.78,Multiple,1978,1980,101,24,0,0,0,Yes
VITESSE,GBR8146,5242,09/01/2015,2015,0.982,E,,,0.972,9,233,11.55,3.64,2.08,Multiple,1987,1993,116,40,29,116,B,Yes
ENIGMA,GBR4365T,5316,21/04/2015,2015,0.952,E,,,0.934,8,267,10.12,3.34,1.9,Multiple,1986,1992,102,32,0,0,0,Yes
STAN THE BOAT,GBR4610,5364,23/01/2015,2015,0.906,E,,,0.895,7,277,9.87,3.2,1.83,Multiple,1978,1991,101,33,24,117,B,Yes
EVENFLOW,GBR4377T,5381,17/03/2015,2015,0.929,,,,0.92,8,288,10.74,3.43,1.83,Single,1990,1991,117,39,0,0,0,Yes
ZEST,GBR536,5432,02/04/2015,2015,0.989,,,,0.971,8,184,11.12,3.58,2.14,Single+H/W Jib,1992,1992,101,31,34,121,A,Yes
BILLYON,GBR9315,5455,21/01/2015,2015,0.936,,,,0.922,9,320,11.66,3.52,1.95,Single+H/W Jib,1974,1976,101,44,33,115,A,Yes
K1,IRL8094,5456,02/04/2015,2015,0.953,E,,,0.936,7,278,9.11,3.22,1.84,Multiple,1980,1980,118,23,0,0,0,Yes
MISS BEHAVIN AGAIN,4003C,5461,13/01/2015,2015,1.031,E,,,1.021,10,239,12.27,3.91,2.33,Multiple,1991,1992,114,36,0,0,0,Yes
COSMIC DANCER III,GBR3921,5524,10/02/2015,2015,0.965,E,,,0.949,8,334,11.22,3.65,2.15,Multiple,1979,1981,104,39,0,0,0,Yes
TRINCULO OF HOWTH,IRL9400,5532,27/04/2015,2015,1.02,E,,,1.01,10,238,12.27,3.91,2.35,Multiple,1991,1992,118,39,0,0,0,Yes
VLAD THE IMPALA,GBR9548,5553,22/01/2015,2015,0.882,E,,,0.874,6,244,8.56,2.82,1.78,Multiple,1978,1979,101,25,0,0,0,Yes
ARBITRATOR,GBR6309,5588,23/02/2015,2015,0.859,,,,0.851,5,232,7.22,2.51,1.4,Multiple,1973,1976,115,14,0,0,0,Yes
NJOS,GBR9824,5617,12/01/2015,2015,1.054,E,,,1.024,8,185,10.65,3.2,2.42,Multiple,1992,1992,101,27,41,141,A,Yes
OUTRIGGER,7071,5625,17/03/2015,2015,0.905,E,,,0.884,5,189,7.07,2.67,1.62,Multiple,1992,1992,118,10,0,0,0,Yes
INSATIABLE,56,5697,21/08/2014,2014,0.931,,,,0.913,6,171,7.85,2.45,1.71,Multiple,1982,1982,416,11,0,0,0,Yes
AL AWAL,2793,5702,15/09/2014,2014,0.882,E,,,0.87,7,295,9.28,3.24,1.7,Single,1982,1984,416,28,0,0,0,Yes
THE FARR SIDE,HKG254,5780,21/05/2014,2014,0.99,,,,0.977,9,178,11.68,3.64,1.94,Single,1978,1979,410,32,0,0,0,Yes
BOSS HOGG,HKG1066,5823,02/09/2014,2014,0.889,E,,,0.881,6,237,8.56,2.82,1.78,Multiple,1978,1982,410,22,0,0,0,Yes
AZZURRO,3430,5876,08/04/2015,2014,0.922,E,,,0.906,8,378,10.09,3.09,1.93,Multiple,1968,1981,401,32,0,0,0,Yes
